Months,Year,Henry Hub Price (US$/MMBTU*),NBP Price (US$/MMBTU)
July,2014,4.05,6.4
August,2014,3.91,6.77
September,2014,3.92,7.9
October,2014,3.78,8.1
November,2014,4.12,8.65
December,2014,3.48,8.39
January,2015,2.99,6.98
February,2015,2.87,7.74
March,2015,2.83,7.07
April,2015,2.61,6.97
May,2015,2.85,6.82
June,2015,2.78,6.75
July,2015,2.84,6.76
August,2015,2.77,6.19
September,2015,2.66,6.29
October,2015,2.34,6.07
November,2015,2.09,5.45
December,2015,1.93,5.15
January,2016,2.28,4.6
February,2016,1.99,4.24
March,2016,1.73,4.22
April,2016,1.92,4.22
